Date,Open,High,Low,Close,Volume,Change
2007-11-16,194435,194435,180980,183963,2406440,-0.046507650205249385
2007-11-19,186964,209394,172011,197423,11044328,0.07316688681963224
2007-11-20,194432,194432,182461,185458,3373159,-0.060605907113152946
2007-11-21,179493,180992,158545,161528,5426858,-0.12903191018990823
2007-11-22,155550,158532,145077,152554,2193879,-0.05555693130602746
2007-11-23,154058,158537,145082,149563,1849493,-0.0196061722406492
2007-11-26,166018,172012,163036,171998,7715660,0.15000367738010079
2007-11-27,161536,164532,154058,157041,3380389,-0.08696031349201738
2007-11-28,160036,176487,151061,166015,7340120,0.05714431263173303
2007-11-29,167511,173504,158536,158537,4090100,-0.045044122519049434
2007-11-30,160036,177986,160036,166015,4998360,0.04716879971236998
2007-12-03,163035,169014,161537,164519,2474725,-0.009011233924645312
2007-12-04,166012,182463,163030,167510,8241961,0.018180270971741797
2007-12-05,169019,172016,158545,161528,4634265,-0.03571130081786167
2007-12-06,161541,161541,152566,154050,3186044,-0.04629537912931503
2007-12-07,152566,155562,148086,154050,3211590,0.0
2007-12-10,152565,158543,140592,146572,4800082,-0.04854268094774428
2007-12-11,145091,146589,142093,145076,1971888,-0.010206587888546226
2007-12-12,140587,142085,131612,133111,2977259,-0.08247401362044726
2007-12-13,134618,145092,134618,136103,4008841,0.022477481199900895
2007-12-14,136117,140597,136117,136103,1445597,0.0
2007-12-17,140597,146591,134618,136103,2935753,0.0
2007-12-18,134604,134604,124131,127129,2635100,-0.06593535778050452
2007-12-20,124145,125643,113686,119650,3084685,-0.058830007315404
2007-12-21,122659,130136,118164,121146,3838916,0.012503134141245376
2007-12-24,121152,133109,118156,125633,7139809,0.03703795420401823
2007-12-26,124142,125640,119662,121146,1835780,-0.03571513853844133
2007-12-27,121163,122662,118166,119650,1531711,-0.012348736235616498
2007-12-28,101702,101702,101702,101703,284393,-0.14999582114500631
